bit1;bit2;bit3;bit4;bit5;bit6;bit7;bit8;class0;class1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0
0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0
0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0
0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0
0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0
